,sentiment,text
35,positive,fundamental game gamers game good recent shift popularity multiplayer competitive like good lower barrier free play exception downloadable barrier entry low could see excitement around fortnight recently apex pubg still league legend still genre game require great attract lot social want play friend much happen happen game play whole bunch think game vibrant ever
36,positive,take methodology colette describe early average underlie game business compare year surely compare compare also rate game notebook think pretty think last year mention game notebook business grow ce number new notebook design come invention create call energy efficiency turing make notebook really wonderful also high perform think dynamic game go continue growth
37,neutral,thank good welcome conference call fourth quarter fiscal call today nvidia president chief executive officer colette executive vice president chief financial like remind call webcast live investor relation web
38,neutral,webcast available replay conference call discus financial result first quarter fiscal content call reproduce transcribe without prior write
39,neutral,statement make february base information currently available except require assume obligation update discus financial find reconciliation financial measure gaap financial measure cfo post web
40,neutral,may make statement base current subject number significant risk actual result may differ discussion factor could affect future financial result please refer disclosure earn recent form report may file form security exchange
41,neutral,statement make february base information currently available except require assume obligation update discus financial find reconciliation financial measure gaap financial measure cfo post web
42,positive,like turn call
43,neutral,first question come line toshiya hari goldman
44,neutral,next question muse
45,neutral,next question come line john pitzer credit
46,negative,appreciate data give u try size normalize demand ask though go channel inventory work fiscal first seem like hit full year guide expectation game revenue accelerate well normalize level talk math give confidence throughout year see game growth
47,positive,start let finish along line response term believe key driver still intact term turing growth expect turing well green believe great driver head rest wait see term play really underlie reason growth
48,negative,think math part probably consider geforce notebook business quite
49,neutral,maybe data center talk new application help grow tam inside data curious calendar fourth quarter last think mark first time competitor meaningful volume gpu data always talk guy want anecdotal evidence give u help u get comfortable go macro share loss either competition architectural difference gpus
50,positive,know lower fourth quarter guidance january result line revenue year drive primarily decline full year revenue previous
51,negative,see high performance find meet high performance compute deep area really see big picture think market segment whether deep machine data segment really quite think unquestionably future high performance compute go highly data computational algorithmic well data drive think fundamental trend
52,positive,four new growth four new way grow data first one course make lot progress think go quite successful get keep say second generation tensor watt use use could use remote could use high performance fit literally hyperscale data
53,neutral,second way data brand new thing must know big data use data predict dynamic marketplace really important retail financial never accelerate approach solve problem flexibility cuda performance course last reengineered entire data analytics call work really important hope give guy update regular render brand new market finally render photo realistic image accelerate million server world drive render farm get upgrade regular
54,positive,successful easy u enterprise far many giant sale coverage allow u reach every single healthcare company every single insurance company retail network partner really come great partnership great partnership dell cisco develop relationship storage reason big data problem require great deal see see opportunity come together create system optimize high performance system bring company prop see lot great success
55,positive,four different way grow data center business enthusiastic optimistic
56,neutral,next question come line timothy arcuri
57,negative,want clarify mix assume fiscal assume data center game flat guess question help u shape revenue get full year add maybe billion fiscal shape
58,positive,guidance next quarter many different type option across market feel confident term rollout provide guidance today see pan expectation flat slightly full correct case go build course several next second half year definitely strong first half expectation
59,positive,one thing keep mind four growth four growth data center business unquestionably footprint large provis business workstation business three way one second data scientist workstation customer never happen software stack turing term workstation ideal data science third finally able make workstation notebook delightfully use technology talk game notebook workstation growth automotive go gross growth
60,positive,year announce entry level two first foot mainstream marketplace autonomous first design win volvo others think go good year self drive car four growth four core business
61,negative,start game revenue million weak expectation head full year revenue three factor contribute game revenue post crypto inventory gpus channel cause u reduce shipment order allow excess channel inventory sell expect channel inventory normalize line one two quarter timeline outline previous earn
62,neutral,next question come line stacy rasgon bernstein
63,negative,want get question say mix go primary driver gross know correct inventory write normalize gross margin quarter guide basis point sequentially flat take guidance indicator mix business primary driver gross margin something else go aware
64,negative,start first question gross correct mix still primary driver gross margin every single correctly reduce change number remove overall inventory write look mix around product plan ship also within game business within data center also different gross margin would best estimate time see move
65,neutral,think big whether intra business mix inter business business within one big driver gross margin degradation sequentially
66,negative,think inter keep mind low percentage game total term different mix within move next quarter
67,neutral,think mix business like mix business think big drive
68,positive,mix within segment well
69,negative,mention data center get full year revenue flat slightly get game revenue bite like provis auto really hard within envelope guidance get data center grow much could even within mean think idea data center grow within context full year guidance
70,negative,relatively limit think go remain little bite think could fairly good see turn year guidance update fundamental dynamic fact matter world need lot compute relate machine data deep relate thing work four new way grow data center think deep learn position good scientific compute position good four new way data analytics machine render take entire stack think right best platform utility really little bite think could fairly good year report
71,neutral,next question come line joe moore morgan
72,negative,deteriorate macro economic particularly impact consumer demand sale certain high end gpus use new turing include geforce rtx low expect launch new product deliver revolutionary leap performance innovation real time customer may delay purchase wait low price point demonstration rtx technology actual significant volatility game business last quarter challenge
73,negative,want ask competition data amd call talk graphic data center business big server worth north million surprise sense quite bite different application guy maybe give u context around see competition come within graphic
74,negative,data center business really focus compute see primary competitor really start end vast majority data center run cpu advance technology slow creep along percent year good either data center go continue increase go find new think people fairly enthusiastic accelerate think position really quite would say largely
75,negative,think competitively compare gpu late think expectation really high turn quite think establish turing energy efficiency much think establish tensor core architecture result allow volta four time performance high end one fourth power benefit great architectural really rich software stack engineer result energy efficiency achieve generation generation think really great
76,positive,broad reach oem cloud service provider adopt architecture utility go lot best way reduce cost utility increase think position really strong could
77,neutral,next question come line matt ramsay
78,negative,couple first one seem like turing platform deliver amaze result talk rely new software feature wonder might talk step take roadmap really upgrade performance instal base give time might take software feature note something write mean obviously commodity price anything talk big effect might business price thank
79,positive,first turing architecture high perform architecture every single price big jump last generation every single without turing architecture first gpu concurrent float point image operation instruction per clock turing processor much good last much good available
80,positive,cash architecture big see exist measure exist game without touch turing give big boost talk already speak early matt know every single game come work developer incorporate rtx technology big epic unreal engine unity engine go incorporate clear next generation computer graphic work do rtx move industry forward well worth remember graphic part
81,neutral,turing come several new opportunity growth first advance advance game advance computer graphic photorealistic render work do tensor core talk second generation tensor core make great well big leap u lastly work data analytics machine learn take advantage capability turing big deal one reason last year busy put turing data video turing really gigantic leap u really excite think turbulent overshadow final think turing home run
82,positive,also answer question regard dram definitely volatile historical great see come beneficial u gross margin look quarter probably able incorporate gross
83,neutral,crypto mine demand effect distort trend game business obscure underlie trend let try give visibility believe long live business look game business consist desktop notebook game game console get sense underlie run rate game business last helpful look desktop game revenue across period include crypto
84,neutral,next question come line aaron rakers well
85,neutral,build discussion around turing platform particularly game curious mention prepare comment price new solution bite company invoke change price strategy around also interest help u frame important china game segment whether assume china market rebound annual
86,positive,first price big inhibitor launch mid range ability launch big inhibitor launch great review people love price point great stack mid range way turn good time many special addition many clock version price point appear msrp price important market important game confidence go
87,neutral,next question come line mark lipacis
88,negative,could could repeat say think opex would grow fiscal focus extent versus maybe one layer focus high thank
89,neutral,start repeat indicate plan increase opex high finish term fiscal year relate opportunity see front ai well self drive focus term heavy significant investment across well need term go market strategy obtain high market front
90,neutral,next question come line mitch steves rbc capital
91,negative,want poke many hole memory side downturn game due crypto think gross margin guy almost reach look call year even month make reason guy get back mid
92,negative,gross margin yes still driver within mix product allow u grow gross margin definitely goal u continue focus term cost component also move entire portfolio high value add platform long absolutely thing still place intact look give best guidance help see
93,neutral,next question come line blayne curtis
94,neutral,look four quarter start last year current quarter last year benefit ship high amount desktop game product relative end demand turn allow channel work excess channel ship low amount relative end demand exit expect channel inventory normal desktop game revenue across four quarter believe represent normalize level desktop game notebook game game console average close million per quarter four total believe normalize game business revenue run rate approximately
95,neutral,pause data center particularly pretty well curious perspective particularly ai still growth area versus run rate memory give u perspective widespread maybe number customer geographic curious ai affect great slow
96,negative,pause probably still see lot activity much small base u expect much large base reason enterprise today use deep use approach call machine might use thing like decision graph thing like algorithm like run data analytics application business intelligence large amount might run top spark stack create berkeley open source recognize healthcare company financial service company retail company use fraud predict try make best match rider try predict route take deliver food dinner
97,neutral,application developer today use machine learn large big data invest stack call rapid build call process partner large company take stack solution expect enterprise fairly excite growth opportunity pause amount computation use deep inference opportunity work get lot excite opportunity
98,neutral,next question come line pierre ferragu new street
99,neutral,question try figure position cloud data center evolve last year financial year look cloud look cpu go accord wonder much guy increase revenue within cloud grow fast go fast overall follow
100,positive,let start talk early hyperscales hyperscales many also cloud provider start slowdown term purchase latter half overall growth rate see data center business grow full even without strong still small percentage overall capex see cloud provider overall likely one top priority area need grow term data center focus focus cloud importance compute still small percentage slowdown second half full year phenomenal growth track
101,positive,overall data center like specifically cloud hyperscale business grow well grow even fast
102,positive,depend mix hyperscale growth cloud fourth quarter growth opportunity u early year definitely
103,neutral,quickly maybe seem cautious data center listen player like google facebook seem seem like tune grow overall spend listen provider around seem demonstrate bite confidence second spend optimistic say something hear client second
104,positive,enthusiastic second enthusiastic enthusiastic solution also expand application market guide think probably big takeaway guide flat slightly whole whole four growth maybe best way think wait see think concern feel pretty good feel even good strategic look forward work year
105,neutral,could catch u late think maybe tie view moderate demand would obviously fluctuate bite choose launch aircraft pile launch would maybe juxtapose two different
106,neutral,continue ramp activity win culmination year unwavering improve technology derisking develop flight test two production ready jet flight test complete already see strong interest well outside demonstrate deck handle engine prototype aircraft currently grind test expect undergo first flight
107,negative,sort conversation go customer preliminarily least around plane use sort enabler open new market versus replacement relative say really think broad
108,neutral,talk extensively customer customer consistent see several different market segment potential application see market need market area really cannot address modify exist platform medium haul segment today serve say inefficient use see opportunity airline customer gain good portion also creation new route saw introduction saw roughly already new city pair emerge capability airplane mile kind see opportunity significant regional city pair growth another area gain customer multiple segment significant customer key u build business case go create value customer well value company work still need
109,neutral,next go ron epstein bank america merrill please go
110,neutral,maybe think airplane like transition get lot total make month right
111,neutral,make right calculation well month rate step expect complete transition second move forward briskly already move part supply chain still work element supply chain particular engine go make full transition confident important discipline back number mathematically delivery year note roughly delivery year also include military tanker include
112,neutral,maybe one nma business case may think think potential relationship could future family
113,neutral,one parameter think anytime think investment future make u realize fundamentally change investment strategy company feather long term sequence development program gain benefit continuous development lesson learn rather stack multiple development program top way think nma development program particular airplane market also sequence leverage leverage learn thing like roll could use nma investment think leverage create production system even distinct future whether future airplane alternative might invest think continuum key create sustain growth business top bottom line sustain growth approach think nma
114,neutral,get ask one tail end
115,neutral,
116,neutral,ask sort quick think engine versus model purpose go review max think margin profile one variant versus
117,neutral,turn global bgs report revenue represent growth business operation begin july bgs growth consistently outpace average service bgs continue win new highlight value bring broad range commercial government customer strength one boeing bgs book new order total approximately billion award include support service sustain contract military customer globally recent contract navy air force qatar
118,positive,still kind early take similar margin profile really around time unit feather think really
119,neutral,time one analyst
120,neutral,peter arment please go
121,neutral,maybe easy one book bill expectation specifically around max mention new customer really think aircraft since close cover think order momentum
122,neutral,continue see strong order momentum think another sign week early saw announcement intent buy another addition fleet see continue momentum max sale airplane create value market oversold production talk early ramp oversold fill skyline slot way continue see upward market pressure overall production rate think demand airplane continue great order volume momentum mention might see moderation demand come still expect book bill range always time term demand signal marketplace continue
123,neutral,lady complete analyst return boeing company introductory remark anne interim vice president please go
124,positive,thank continue call medium question dennis additional query follow please call medium relation team ready first interest ask limit everyone one question
125,neutral,first line andrew tangel wall street please go
126,neutral,let touch china question continue see strong demand china overall term market say see world need new commercial remain confident outlook remain solid traffic pattern china continue see passenger growth exceed overall market growth around world also see passenger traffic growth continue exceed gdp market fundamental remain strongly term order volume china typically pace time tend come look future expect see time adjustment overall volume remain really apply broad comment moderation order look market fundamental see volume order continue grow add get question local time customer meet fleet nothing would say macro trend substantial see fundamental aerospace growth air traffic growth sustainable backlog aircraft roughly seven year give u ability whether local variation maintain view term sustain
127,neutral,next question julie johnsson please go
128,neutral,addition strong momentum part supply chain bgs continue expand digital solution portfolio customer fourth commercial military aircraft monitor flight airplane health health monitor add list digital analytics customer shenzhen airline recently sign crew pair rostering shenzhen first airline china use boeing analytics power crew management solution bring advance data analytics capability allow focus core business serve customer improve efficiency
129,neutral,want make sure understand point make potentially see low order year next five year plan loom totally unrelated question apology cfm stand plan unusual boeing embed people supply
130,neutral,first question regard china exactly point give plan cycle ongoing discussion customer chinese also factor trade dialogue factor much engage expect china growth market exactly effort play next quarter two still open question proceed trade tell intimately involve discussion engagement government see progress front see also see clearly mutual benefit healthy aerospace industry china need airplane growth fuel economy meet passenger growth cargo growth aerospace business tremendous job manufacture hire people last aerospace industry create billion year trade surplus mutual hope aerospace expect lead reproductive china least part factor ultimate order volume time little additional context regard cfm unusual u boeing personnel supplier sit supply typical process would say go one supply chain health issue spend lot time right engine work deploy additional resource factory supply expect see sign still work deeply engage supply chain part
131,neutral,next question sylvia pfeifer financial please go
132,neutral,china question one main ask brexit know different position airbus wonder whether see risk operation uk event hard brexit week ago
133,neutral,continue seek close eye might involve commit operation ramp significantly last many year roughly double size roughly triple size supply chain uk sustain expect change base outcome say keep close eye make sure impact think sign commitment note last open new operation sheffield advance manufacture also help u build actuation vertical another example commitment uk investment continue
134,neutral,time one last question
135,neutral,dominic gate seattle please go
136,neutral,go back max situation december delivery seem like almost fully need send people problem engine configuration change become tell u bite also timeline expect back
137,neutral,first saw december allude see recovery across supply include engine supply enable u drive december delivery yet fully recover continue work supply chain recovery still work go nothing would say issue associate change configuration make kind alteration really ramp production efficiently able get liner profile engine delivery match factory production rate airplane synchronize production really focus still work go get cfm support month production rate system synchronize even work go yet get ramp really focus production system u get deep go give u good insight long lead frankly think help u best practice share boeing part make u good make cfm work plan focus first quarter time reflect overall delivery guidance see factor go discipline insure supply chain health fully move month production
138,neutral,conclude earn member please call team thank
139,neutral,fourth also complete acquisition major global provider aviation part boost supply chain capability enable u good serve customer profitably purposefully grow integration activity continue progress retain top klx talent track achieve exceed business case synergy
140,neutral,last year start operation airplane seat joint venture auxiliary power unit joint venture partnership support vertical integration strategy strengthen capability depth key area offer good product deliver great value grow service business generate great life cycle also make progress strategic partnership recently receive approval government brazil sign definitive agreement embraer shareholder vote schedule february next major come month continue work embraer global regulator stakeholder complete transaction create important strategic partnership aerospace assume approval receive timely expect close transaction end
141,neutral,deliver another year strong operate capture noteworthy addition large diverse return significant cash invest people business drive innovation excellence complement organic growth plan strategic inorganic turn business environment slide
142,neutral,continue see healthy global demand offer space sizable sector grow back strong fundamental combine market opportunity trillion next would note global company customer always mindful potential impact geopolitical macroeconomic continue track host issue mitigate potential risk value maintain strong relationship supplier stakeholder around reinforce mutual economic benefit strong prosperous aerospace
143,neutral,commercial global passenger traffic continue grow fast gdp passenger traffic grow represent ninth straight year trend believe change nature travel connect city pair rise fundamentally expand traffic pattern support sustain airline maintain capacity keep supply demand imbalance industry profitability remain near historic air cargo continue solid momentum traffic increase nearly
144,neutral,customer continue recognize superior value proposition fuel efficient airplane reflect strong intake new order saw last expect see new order intake moderate still healthy
145,neutral,sale expectation build diverse demand see around world across airline business also balance airplane purchase fleet growth replacement lead stable purchase believe evolution key market dynamic aggregate continue drive le cyclicality long remain highly confident forecast demand nearly new airplane next help double size global demand fundamental combine healthy market condition robust backlog provide solid foundation plan production turn product start current production rate per month plan increase year base backlog aircraft production skyline sell early next program add new customer year max family surpass net order continue ass market upward pressure production
146,neutral,thank good welcome fourth quarter earn maurita today dennis president chief executive greg chief financial officer executive vice president enterprise performance management take fairness others ask please limit one always provide detail financial information press release issue early reminder follow broadcast slide presentation website
147,neutral,rate continue ass supply chain readiness well market demand integrate manner part discipline see steady order high confidence meaningful increase replacement demand early next current generation continue steady sale momentum net program capture order since additional order bring backlog aircraft provide support
148,neutral,turn recently launch boeing business jet long range business jet ever connect virtually two city strong foundation order commitment support plan ramp production delivery new focus bolster
149,neutral,combine production rate slight transition continue expect delivery rate approximately aircraft per month expect delivery rate increase slightly continue ass demand well
150,neutral,dreamliner extend status fast sell jet history net order last year since program highlight include hawaiian airline turkish airline become new american airline unite airline add grow list repeat dreamliner highlight strong market preference family superior plant increase dreamliner production airplane per month year well
151,neutral,turn unmatched freighter product capture increase cargo add four new order fourth previously plan increase production rate per month per month space continue see solid demand major platform bgs portfolio mature set platform address current need innovative capable affordable new franchise program build expect continue see broad support product pentagon
152,neutral,fiscal year defense bill authorize fourth multiyear procurement add fund additional fund request key program across fix wing commercial derivative aircraft portfolio support space satellite fiscal year nasa appropriation yet congress also demonstrate robust support key space exploration demand outside defense space offer also remain particular commercial fighter investment future growth new sale continue area priority continue leverage capability technology across enterprise win important opportunity grind base strategic
153,neutral,turn service see trillion service market next year significant growth opportunity bgs provide cost competitive service customer aim continue grow fast average service market growth rate expand broad portfolio service offer continue gain market
154,neutral,revenue increase solidify confidence growth opportunity ability capture strong order billion year reflect recognition value proposition help optimize performance fleet reduce operational cost focus bgs remain optimize business expand portfolio offer organic growth investment strengthen vertical complement strategic acquisition partnership position bgs sustain profitable global reach business strong customer partnership u compete win important
155,neutral,grow market opportunity team remain intensely focus innovation accelerate productivity improvement fuel investment first test flight autonomous passenger air vehicle prototype last week choose effort continue lead innovative responsible approach new mobility one boeing strategy offer across three business key differentiator help demand position lead aerospace
156,neutral,financial
157,neutral,need remind projection goal include discussion morning likely involve detail news release various sec file statement disclaimer end rough refer earn release presentation disclosure reconciliation measure use discus result turn call dennis muilenburg
158,neutral,good turn slide discus full year book record revenue billion exceed billion first time drive record commercial aircraft high space security volume continue growth core total full record reflect high improve mix solid execution across operate cash year also record robust cash generation largely drive high volume strong operate performance across move quarterly result slide
159,neutral,fourth quarter revenue increase billion drive growth three business core earn per share grow drive high volume strong operate performance across outweigh favorable tax reform impact fourth quarter last year
160,neutral,discus commercial airplane slide commercial airplane business revenue billion quarter reflect high delivery favorable bca operate margin increase drive high volume strong operate performance production include high bca capture billion net order fourth quarter backlog remain strong billion nearly represent approximately seven year deliver aircraft include delivery year back load due production supply chain recovery
161,neutral,turn space security result slide fourth quarter revenue increase billion drive high volume across bd include satellite bd margin increase reflect solid performance favorable bd add billion new order bring backlog billion outside unite state
162,neutral,turn global service result slide fourth global service revenue increase reflect high volume predominantly drive increase sale part supply chain growth full predominantly drive organically meet objective outpace average annual service market growth rate
163,neutral,bgs operate margin strong reflect mix product service well improve performance partially offset high period cost investment focus expand portfolio offer go bgs key contract award worth approximately billion bring backlog win underscore strength one boeing offer
164,neutral,turn cash flow slide operate cash flow quarter full year strong billion billion result drive plan high volume strong operate performance across business time receipt remain focus track balance cash deployment invest billion repurchase billion boeing stock pay billion dividend reflect increase dividend last also complete klx acquisition fourth
165,neutral,strength business confidence sustainable outlook power investment innovation deliver commitment return cash dennis mention early last year reinforce commitment return value shareholder board director authorize new billion share repurchase program increase quarterly
166,neutral,last five repurchase million share increase dividend invest nearly billion key strategic area business support growth sustainability customer remain commit continue execute balance cash deployment strategy go
167,neutral,move cash debt balance slide end quarter billion cash marketable billion debt stable credit cash debt position reflect acquisition klx fourth balance sheet position continue provide u flexibility invest innovation profitable growth opportunity return value back
168,neutral,refer earn release presentation disclosure reconciliation measure use discus result turn call dennis
169,neutral,turn slide discus outlook build strong performance guidance reflect high improve core operate additional productivity capture continue focus effort drive grow cash
170,neutral,total company revenue forecast largely reflect high plan production rate growth service well core earn per share guidance set per share high favorable mix improve productivity
171,neutral,operate cash flow forecast increase billion billion largely drive improve cash generation high overall include production improve tanker cash profile partially offset increase plan inventory relate test aircraft early build unit high cash primarily due improve unit well high plan spend
172,neutral,capital spend forecast approximately billion include time shift expenditure expect investment align growth productivity strategy support productivity vertical
173,neutral,discus business unit guidance would like highlight begin january change realignment military derivative aircraft tanker poseidon air force bca change good reflect contractual relationship end customer bd call prime
174,neutral,account realignment change bca bd execute together also expect total boeing earn cash flow asset segment guidance include impact begin january revenue cost associate military derivative aircraft previously report bca bd report bd comparison purpose part earn provide restate financial information incorporate account
175,neutral,commercial airplane revenue guidance set discus largely drive high delivery partially offset impact military derivative aircraft realignment
176,neutral,ramp max production continue expect max account approximately total delivery expect deliver airplane full incorporate delivery guidance plan production rate increase inter company delivery military aircraft bca
